sku,customer,period_date,quantity,revenue
SKU-001,Delta Corp,2025-08-04,91,25454.52
SKU-001,Alfa Industries,2025-08-11,207,57902.04
SKU-001,Beta Manufacturing,2025-08-11,126,35244.72
SKU-001,Gamma Tools,2025-08-11,89,24895.08
SKU-001,Delta Corp,2025-08-11,108,30209.76
SKU-001,Alfa Industries,2025-08-18,208,58181.76
SKU-001,Beta Manufacturing,2025-08-18,146,40839.12
SKU-001,Gamma Tools,2025-08-18,90,25174.8
SKU-001,Delta Corp,2025-08-18,146,40839.12
SKU-001,Alfa Industries,2025-08-25,269,75244.68
SKU-001,Beta Manufacturing,2025-08-25,237,66293.64
SKU-001,Gamma Tools,2025-08-25,142,39720.24
SKU-001,Delta Corp,2025-08-25,40,11188.8
SKU-001,Alfa Industries,2025-09-01,249,69650.28
SKU-001,Beta Manufacturing,2025-09-01,175,48951.0
SKU-001,Gamma Tools,2025-09-01,132,36923.04
SKU-001,Delta Corp,2025-09-01,21,5874.12
SKU-001,Alfa Industries,2025-09-08,267,74685.24
SKU-001,Beta Manufacturing,2025-09-08,184,51468.48
SKU-001,Gamma Tools,2025-09-08,146,40839.12
SKU-001,Delta Corp,2025-09-08,25,6993.0
SKU-001,Alfa Industries,2025-09-15,230,64335.6
SKU-001,Beta Manufacturing,2025-09-15,198,55384.56
SKU-001,Gamma Tools,2025-09-15,128,35804.16
SKU-001,Delta Corp,2025-09-15,57,15944.04
SKU-001,Alfa Industries,2025-09-22,259,72447.48
SKU-001,Beta Manufacturing,2025-09-22,157,43916.04
SKU-001,Gamma Tools,2025-09-22,113,31608.36
SKU-001,Delta Corp,2025-09-22,20,5594.4
SKU-001,Alfa Industries,2025-09-29,239,66853.08
SKU-001,Beta Manufacturing,2025-09-29,191,53426.52
SKU-001,Gamma Tools,2025-09-29,149,41678.28
SKU-001,Delta Corp,2025-09-29,37,10349.64
SKU-001,Alfa Industries,2025-10-06,236,66013.92
SKU-001,Beta Manufacturing,2025-10-06,172,48111.84
SKU-001,Gamma Tools,2025-10-06,89,24895.08
SKU-001,Delta Corp,2025-10-06,79,22097.88
SKU-001,Alfa Industries,2025-10-13,272,76083.84
SKU-001,Beta Manufacturing,2025-10-13,173,48391.56
SKU-001,Gamma Tools,2025-10-13,103,28811.16
SKU-001,Delta Corp,2025-10-13,21,5874.12
SKU-001,Alfa Industries,2025-10-20,254,71048.88
SKU-001,Beta Manufacturing,2025-10-20,162,45314.64
SKU-001,Gamma Tools,2025-10-20,93,26013.96
SKU-001,Delta Corp,2025-10-20,99,27692.28
SKU-001,Alfa Industries,2025-10-27,198,55384.56
SKU-001,Beta Manufacturing,2025-10-27,163,45594.36
SKU-001,Gamma Tools,2025-10-27,134,37482.48
SKU-001,Delta Corp,2025-10-27,37,10349.64
SKU-001,Alfa Industries,2025-11-03,285,79720.2
SKU-001,Beta Manufacturing,2025-11-03,181,50629.32
SKU-001,Gamma Tools,2025-11-03,129,36083.88
SKU-001,Delta Corp,2025-11-03,100,27972.0
SKU-001,Alfa Industries,2025-11-10,285,79720.2
SKU-001,Beta Manufacturing,2025-11-10,198,55384.56
SKU-001,Gamma Tools,2025-11-10,116,32447.52
SKU-001,Alfa Industries,2025-11-17,247,69090.84
SKU-001,Beta Manufacturing,2025-11-17,175,48951.0
SKU-001,Gamma Tools,2025-11-17,129,36083.88
SKU-001,Delta Corp,2025-11-17,59,16503.48
SKU-001,Alfa Industries,2025-11-24,168,46992.96
SKU-001,Beta Manufacturing,2025-11-24,116,32447.52
SKU-001,Gamma Tools,2025-11-24,104,29090.88
SKU-001,Delta Corp,2025-11-24,45,12587.4
SKU-001,Alfa Industries,2025-12-01,262,73286.64
SKU-001,Beta Manufacturing,2025-12-01,197,55104.84
SKU-001,Gamma Tools,2025-12-01,132,36923.04
SKU-001,Delta Corp,2025-12-01,72,20139.84
SKU-001,Alfa Industries,2025-12-08,222,62097.84
SKU-001,Beta Manufacturing,2025-12-08,153,42797.16
SKU-001,Gamma Tools,2025-12-08,111,31048.92
SKU-001,Delta Corp,2025-12-08,48,13426.56
SKU-001,Alfa Industries,2025-12-15,278,77762.16
SKU-001,Beta Manufacturing,2025-12-15,202,56503.44
SKU-001,Gamma Tools,2025-12-15,112,31328.64
SKU-001,Delta Corp,2025-12-15,54,15104.88
SKU-001,Alfa Industries,2025-12-22,206,57622.32
SKU-001,Beta Manufacturing,2025-12-22,134,37482.48
SKU-001,Gamma Tools,2025-12-22,99,27692.28
SKU-001,Delta Corp,2025-12-22,40,11188.8
SKU-001,Alfa Industries,2025-12-29,215,60139.8
SKU-001,Beta Manufacturing,2025-12-29,159,44475.48
SKU-001,Gamma Tools,2025-12-29,140,39160.8
SKU-001,Delta Corp,2025-12-29,78,21818.16
SKU-001,Alfa Industries,2026-01-05,205,57342.6
SKU-001,Beta Manufacturing,2026-01-05,156,43636.32
SKU-001,Gamma Tools,2026-01-05,131,36643.32
SKU-001,Delta Corp,2026-01-05,54,15104.88
SKU-001,Alfa Industries,2026-01-12,303,84755.16
SKU-001,Beta Manufacturing,2026-01-12,192,53706.24
SKU-001,Gamma Tools,2026-01-12,131,36643.32
SKU-001,Alfa Industries,2026-01-19,205,57342.6
SKU-001,Beta Manufacturing,2026-01-19,185,51748.2
SKU-001,Gamma Tools,2026-01-19,126,35244.72
SKU-001,Delta Corp,2026-01-19,33,9230.76
SKU-001,Alfa Industries,2026-01-26,205,57342.6
SKU-001,Beta Manufacturing,2026-01-26,194,54265.68
SKU-001,Gamma Tools,2026-01-26,116,32447.52
SKU-001,Delta Corp,2026-01-26,88,24615.36
SKU-001,Alfa Industries,2026-02-02,261,73006.92
SKU-001,Beta Manufacturing,2026-02-02,207,57902.04
SKU-001,Gamma Tools,2026-02-02,144,40279.68
SKU-001,Delta Corp,2026-02-02,16,4475.52
SKU-001,Alfa Industries,2026-02-09,213,59580.36
SKU-001,Beta Manufacturing,2026-02-09,163,45594.36
SKU-001,Gamma Tools,2026-02-09,101,28251.72
SKU-001,Delta Corp,2026-02-09,115,32167.8
SKU-001,Alfa Industries,2026-02-16,210,58741.2
SKU-001,Beta Manufacturing,2026-02-16,143,39999.96
SKU-001,Gamma Tools,2026-02-16,115,32167.8
SKU-001,Delta Corp,2026-02-16,24,6713.28
SKU-001,Alfa Industries,2026-02-23,203,56783.16
SKU-001,Beta Manufacturing,2026-02-23,186,52027.92
SKU-001,Gamma Tools,2026-02-23,134,37482.48
SKU-001,Delta Corp,2026-02-23,54,15104.88
SKU-001,Alfa Industries,2026-03-02,241,67412.52
SKU-001,Beta Manufacturing,2026-03-02,184,51468.48
SKU-001,Gamma Tools,2026-03-02,98,27412.56
SKU-001,Delta Corp,2026-03-02,39,10909.08
SKU-002,Alfa Industries,2025-03-10,260,74687.6
SKU-002,Beta Manufacturing,2025-03-10,149,42801.74
SKU-002,Gamma Tools,2025-03-10,121,34758.46
SKU-002,Delta Corp,2025-03-10,112,32173.12
SKU-002,Alfa Industries,2025-03-17,200,57452.0
SKU-002,Beta Manufacturing,2025-03-17,157,45099.82
SKU-002,Gamma Tools,2025-03-17,113,32460.38
SKU-002,Delta Corp,2025-03-17,11,3159.86
SKU-002,Alfa Industries,2025-03-24,290,83305.4
SKU-002,Beta Manufacturing,2025-03-24,209,60037.34
SKU-002,Gamma Tools,2025-03-24,139,39929.14
SKU-002,Delta Corp,2025-03-24,14,4021.64
SKU-002,Alfa Industries,2025-03-31,197,56590.22
SKU-002,Beta Manufacturing,2025-03-31,135,38780.1
SKU-002,Gamma Tools,2025-03-31,96,27576.96
SKU-002,Delta Corp,2025-03-31,68,19533.68
SKU-002,Alfa Industries,2025-04-07,237,68080.62
SKU-002,Beta Manufacturing,2025-04-07,189,54292.14
SKU-002,Gamma Tools,2025-04-07,118,33896.68
SKU-002,Delta Corp,2025-04-07,75,21544.5
SKU-002,Alfa Industries,2025-04-14,201,57739.26
SKU-002,Beta Manufacturing,2025-04-14,160,45961.6
SKU-002,Gamma Tools,2025-04-14,88,25278.88
SKU-002,Delta Corp,2025-04-14,24,6894.24
SKU-002,Alfa Industries,2025-04-21,230,66069.8
SKU-002,Beta Manufacturing,2025-04-21,161,46248.86
SKU-002,Gamma Tools,2025-04-21,112,32173.12
SKU-002,Delta Corp,2025-04-21,54,15512.04
SKU-002,Alfa Industries,2025-04-28,186,53430.36
SKU-002,Beta Manufacturing,2025-04-28,157,45099.82
SKU-002,Gamma Tools,2025-04-28,103,29587.78
SKU-002,Delta Corp,2025-04-28,31,8905.06
SKU-002,Alfa Industries,2025-05-05,196,56302.96
SKU-002,Beta Manufacturing,2025-05-05,172,49408.72
SKU-002,Gamma Tools,2025-05-05,98,28151.48
SKU-002,Delta Corp,2025-05-05,73,20969.98
SKU-002,Alfa Industries,2025-05-12,266,76411.16
SKU-002,Beta Manufacturing,2025-05-12,176,50557.76
SKU-002,Gamma Tools,2025-05-12,128,36769.28
SKU-002,Delta Corp,2025-05-12,77,22119.02
SKU-002,Alfa Industries,2025-05-19,316,90774.16
SKU-002,Beta Manufacturing,2025-05-19,240,68942.4
SKU-002,Gamma Tools,2025-05-19,123,35332.98
SKU-002,Delta Corp,2025-05-19,49,14075.74
SKU-002,Alfa Industries,2025-05-26,199,57164.74
SKU-002,Beta Manufacturing,2025-05-26,154,44238.04
SKU-002,Gamma Tools,2025-05-26,115,33034.9
SKU-002,Delta Corp,2025-05-26,57,16373.82
SKU-002,Alfa Industries,2025-06-02,216,62048.16
SKU-002,Beta Manufacturing,2025-06-02,157,45099.82
SKU-002,Gamma Tools,2025-06-02,116,33322.16
SKU-002,Delta Corp,2025-06-02,37,10628.62
SKU-002,Alfa Industries,2025-06-09,272,78134.72
SKU-002,Beta Manufacturing,2025-06-09,177,50845.02
SKU-002,Gamma Tools,2025-06-09,87,24991.62
SKU-002,Delta Corp,2025-06-09,44,12639.44
SKU-002,Alfa Industries,2025-06-16,266,76411.16
SKU-002,Beta Manufacturing,2025-06-16,211,60611.86
SKU-002,Gamma Tools,2025-06-16,113,32460.38
SKU-002,Delta Corp,2025-06-16,82,23555.32
SKU-002,Alfa Industries,2025-06-23,253,72676.78
SKU-002,Beta Manufacturing,2025-06-23,206,59175.56
SKU-002,Gamma Tools,2025-06-23,143,41078.18
SKU-002,Delta Corp,2025-06-23,30,8617.8
SKU-002,Alfa Industries,2025-06-30,231,66357.06
SKU-002,Beta Manufacturing,2025-06-30,193,55441.18
SKU-002,Gamma Tools,2025-06-30,106,30449.56
SKU-002,Delta Corp,2025-06-30,41,11777.66
SKU-002,Alfa Industries,2025-07-07,177,50845.02
SKU-002,Beta Manufacturing,2025-07-07,123,35332.98
SKU-002,Gamma Tools,2025-07-07,108,31024.08
SKU-002,Delta Corp,2025-07-07,63,18097.38
SKU-002,Alfa Industries,2025-07-14,222,63771.72
SKU-002,Beta Manufacturing,2025-07-14,188,54004.88
SKU-002,Gamma Tools,2025-07-14,134,38492.84
SKU-002,Delta Corp,2025-07-14,57,16373.82
SKU-002,Alfa Industries,2025-07-21,249,71527.74
SKU-002,Beta Manufacturing,2025-07-21,165,47397.9
SKU-002,Gamma Tools,2025-07-21,129,37056.54
SKU-002,Delta Corp,2025-07-21,61,17522.86
SKU-002,Alfa Industries,2025-07-28,273,78421.98
SKU-002,Beta Manufacturing,2025-07-28,199,57164.74
SKU-002,Gamma Tools,2025-07-28,96,27576.96
SKU-002,Delta Corp,2025-07-28,142,40790.92
SKU-002,Alfa Industries,2025-08-04,240,68942.4
SKU-002,Beta Manufacturing,2025-08-04,181,51994.06
SKU-002,Gamma Tools,2025-08-04,143,41078.18
SKU-002,Alfa Industries,2025-08-11,186,53430.36
SKU-002,Beta Manufacturing,2025-08-11,163,46823.38
SKU-002,Gamma Tools,2025-08-11,94,27002.44
SKU-002,Delta Corp,2025-08-11,81,23268.06
SKU-002,Alfa Industries,2025-08-18,204,58601.04
SKU-002,Beta Manufacturing,2025-08-18,156,44812.56
SKU-002,Gamma Tools,2025-08-18,106,30449.56
SKU-002,Delta Corp,2025-08-18,15,4308.9
SKU-002,Alfa Industries,2025-08-25,296,85028.96
SKU-002,Beta Manufacturing,2025-08-25,233,66931.58
SKU-002,Gamma Tools,2025-08-25,177,50845.02
SKU-002,Delta Corp,2025-08-25,52,14937.52
SKU-002,Alfa Industries,2025-09-01,144,41365.44
SKU-002,Beta Manufacturing,2025-09-01,123,35332.98
SKU-002,Gamma Tools,2025-09-01,100,28726.0
SKU-002,Delta Corp,2025-09-01,30,8617.8
SKU-002,Alfa Industries,2025-09-08,161,46248.86
SKU-002,Beta Manufacturing,2025-09-08,118,33896.68
SKU-002,Gamma Tools,2025-09-08,66,18959.16
SKU-002,Delta Corp,2025-09-08,23,6606.98
SKU-002,Alfa Industries,2025-09-15,274,78709.24
SKU-002,Beta Manufacturing,2025-09-15,211,60611.86
SKU-002,Gamma Tools,2025-09-15,119,34183.94
SKU-002,Delta Corp,2025-09-15,88,25278.88
SKU-002,Alfa Industries,2025-09-22,294,84454.44
SKU-002,Beta Manufacturing,2025-09-22,192,55153.92
SKU-002,Gamma Tools,2025-09-22,139,39929.14
SKU-002,Delta Corp,2025-09-22,40,11490.4
SKU-002,Alfa Industries,2025-09-29,251,72102.26
SKU-002,Beta Manufacturing,2025-09-29,183,52568.58
SKU-002,Gamma Tools,2025-09-29,133,38205.58
SKU-002,Delta Corp,2025-09-29,43,12352.18
SKU-002,Alfa Industries,2025-10-06,242,69516.92
SKU-002,Beta Manufacturing,2025-10-06,192,55153.92
SKU-002,Gamma Tools,2025-10-06,150,43089.0
SKU-002,Alfa Industries,2025-10-13,273,78421.98
SKU-002,Beta Manufacturing,2025-10-13,174,49983.24
SKU-002,Gamma Tools,2025-10-13,111,31885.86
SKU-002,Delta Corp,2025-10-13,71,20395.46
SKU-002,Alfa Industries,2025-10-20,189,54292.14
SKU-002,Beta Manufacturing,2025-10-20,148,42514.48
SKU-002,Gamma Tools,2025-10-20,91,26140.66
SKU-002,Delta Corp,2025-10-20,93,26715.18
SKU-002,Alfa Industries,2025-10-27,200,57452.0
SKU-002,Beta Manufacturing,2025-10-27,142,40790.92
SKU-002,Gamma Tools,2025-10-27,76,21831.76
SKU-002,Delta Corp,2025-10-27,163,46823.38
SKU-002,Alfa Industries,2025-11-03,137,39354.62
SKU-002,Beta Manufacturing,2025-11-03,140,40216.4
SKU-002,Gamma Tools,2025-11-03,70,20108.2
SKU-002,Delta Corp,2025-11-03,30,8617.8
SKU-002,Alfa Industries,2025-11-10,261,74974.86
SKU-002,Beta Manufacturing,2025-11-10,157,45099.82
SKU-002,Gamma Tools,2025-11-10,127,36482.02
SKU-002,Delta Corp,2025-11-10,63,18097.38
SKU-002,Alfa Industries,2025-11-17,207,59462.82
SKU-002,Beta Manufacturing,2025-11-17,132,37918.32
SKU-002,Gamma Tools,2025-11-17,97,27864.22
SKU-002,Delta Corp,2025-11-17,68,19533.68
SKU-002,Alfa Industries,2025-11-24,285,81869.1
SKU-002,Beta Manufacturing,2025-11-24,203,58313.78
SKU-002,Gamma Tools,2025-11-24,141,40503.66
SKU-002,Delta Corp,2025-11-24,67,19246.42
SKU-002,Alfa Industries,2025-12-01,249,71527.74
SKU-002,Beta Manufacturing,2025-12-01,207,59462.82
SKU-002,Gamma Tools,2025-12-01,97,27864.22
SKU-002,Delta Corp,2025-12-01,98,28151.48
SKU-002,Alfa Industries,2025-12-08,216,62048.16
SKU-002,Beta Manufacturing,2025-12-08,215,61760.9
SKU-002,Gamma Tools,2025-12-08,143,41078.18
SKU-002,Delta Corp,2025-12-08,70,20108.2
SKU-002,Alfa Industries,2025-12-15,224,64346.24
SKU-002,Beta Manufacturing,2025-12-15,197,56590.22
SKU-002,Gamma Tools,2025-12-15,149,42801.74
SKU-002,Delta Corp,2025-12-15,34,9766.84
SKU-002,Alfa Industries,2025-12-22,270,77560.2
SKU-002,Beta Manufacturing,2025-12-22,254,72964.04
SKU-002,Gamma Tools,2025-12-22,152,43663.52
SKU-002,Delta Corp,2025-12-22,24,6894.24
SKU-002,Alfa Industries,2025-12-29,160,45961.6
SKU-002,Beta Manufacturing,2025-12-29,122,35045.72
SKU-002,Gamma Tools,2025-12-29,72,20682.72
SKU-002,Delta Corp,2025-12-29,64,18384.64
SKU-002,Alfa Industries,2026-01-05,197,56590.22
SKU-002,Beta Manufacturing,2026-01-05,172,49408.72
SKU-002,Gamma Tools,2026-01-05,100,28726.0
SKU-002,Delta Corp,2026-01-05,51,14650.26
SKU-002,Alfa Industries,2026-01-12,199,57164.74
SKU-002,Beta Manufacturing,2026-01-12,117,33609.42
SKU-002,Gamma Tools,2026-01-12,101,29013.26
SKU-002,Delta Corp,2026-01-12,56,16086.56
SKU-002,Alfa Industries,2026-01-19,191,54866.66
SKU-002,Beta Manufacturing,2026-01-19,141,40503.66
SKU-002,Gamma Tools,2026-01-19,92,26427.92
SKU-002,Delta Corp,2026-01-19,54,15512.04
SKU-002,Alfa Industries,2026-01-26,170,48834.2
SKU-002,Beta Manufacturing,2026-01-26,95,27289.7
SKU-002,Gamma Tools,2026-01-26,72,20682.72
SKU-002,Delta Corp,2026-01-26,115,33034.9
SKU-002,Alfa Industries,2026-02-02,212,60899.12
SKU-002,Beta Manufacturing,2026-02-02,138,39641.88
SKU-002,Gamma Tools,2026-02-02,135,38780.1
SKU-002,Delta Corp,2026-02-02,54,15512.04
SKU-002,Alfa Industries,2026-02-09,181,51994.06
SKU-002,Beta Manufacturing,2026-02-09,167,47972.42
SKU-002,Gamma Tools,2026-02-09,98,28151.48
SKU-002,Delta Corp,2026-02-09,55,15799.3
SKU-002,Alfa Industries,2026-02-16,178,51132.28
SKU-002,Beta Manufacturing,2026-02-16,128,36769.28
SKU-002,Gamma Tools,2026-02-16,82,23555.32
SKU-002,Delta Corp,2026-02-16,66,18959.16
SKU-002,Alfa Industries,2026-02-23,258,74113.08
SKU-002,Beta Manufacturing,2026-02-23,226,64920.76
SKU-002,Gamma Tools,2026-02-23,124,35620.24
SKU-002,Delta Corp,2026-02-23,69,19820.94
SKU-002,Alfa Industries,2026-03-02,253,72676.78
SKU-002,Beta Manufacturing,2026-03-02,211,60611.86
SKU-002,Gamma Tools,2026-03-02,84,24129.84
SKU-002,Delta Corp,2026-03-02,61,17522.86
SKU-003,Alfa Industries,2025-03-10,63,64224.72
SKU-003,Beta Manufacturing,2025-03-10,43,43835.92
SKU-003,Gamma Tools,2025-03-10,32,32622.08
SKU-003,Delta Corp,2025-03-10,18,18349.92
SKU-003,Alfa Industries,2025-03-17,76,77477.44
SKU-003,Beta Manufacturing,2025-03-17,50,50972.0
SKU-003,Gamma Tools,2025-03-17,22,22427.68
SKU-003,Delta Corp,2025-03-17,12,12233.28
SKU-003,Alfa Industries,2025-03-24,83,84613.52
SKU-003,Beta Manufacturing,2025-03-24,68,69321.92
SKU-003,Gamma Tools,2025-03-24,34,34660.96
SKU-003,Delta Corp,2025-03-24,15,15291.6
SKU-003,Alfa Industries,2025-03-31,73,74419.12
SKU-003,Beta Manufacturing,2025-03-31,58,59127.52
SKU-003,Gamma Tools,2025-03-31,28,28544.32
SKU-003,Delta Corp,2025-03-31,29,29563.76
SKU-003,Alfa Industries,2025-04-07,70,71360.8
SKU-003,Beta Manufacturing,2025-04-07,57,58108.08
SKU-003,Gamma Tools,2025-04-07,40,40777.6
SKU-003,Delta Corp,2025-04-07,22,22427.68
SKU-003,Alfa Industries,2025-04-14,68,69321.92
SKU-003,Beta Manufacturing,2025-04-14,41,41797.04
SKU-003,Gamma Tools,2025-04-14,27,27524.88
SKU-003,Delta Corp,2025-04-14,27,27524.88
SKU-003,Alfa Industries,2025-04-21,67,68302.48
SKU-003,Beta Manufacturing,2025-04-21,48,48933.12
SKU-003,Gamma Tools,2025-04-21,24,24466.56
SKU-003,Delta Corp,2025-04-21,16,16311.04
SKU-003,Alfa Industries,2025-04-28,66,67283.04
SKU-003,Beta Manufacturing,2025-04-28,43,43835.92
SKU-003,Gamma Tools,2025-04-28,24,24466.56
SKU-003,Delta Corp,2025-04-28,14,14272.16
SKU-003,Alfa Industries,2025-05-05,83,84613.52
SKU-003,Beta Manufacturing,2025-05-05,62,63205.28
SKU-003,Gamma Tools,2025-05-05,44,44855.36
SKU-003,Delta Corp,2025-05-05,13,13252.72
SKU-003,Alfa Industries,2025-05-12,88,89710.72
SKU-003,Beta Manufacturing,2025-05-12,50,50972.0
SKU-003,Gamma Tools,2025-05-12,40,40777.6
SKU-003,Delta Corp,2025-05-12,27,27524.88
SKU-003,Alfa Industries,2025-05-19,93,94807.92
SKU-003,Beta Manufacturing,2025-05-19,69,70341.36
SKU-003,Gamma Tools,2025-05-19,46,46894.24
SKU-003,Alfa Industries,2025-05-26,67,68302.48
SKU-003,Beta Manufacturing,2025-05-26,64,65244.16
SKU-003,Gamma Tools,2025-05-26,37,37719.28
SKU-003,Delta Corp,2025-05-26,28,28544.32
SKU-003,Alfa Industries,2025-06-02,64,65244.16
SKU-003,Beta Manufacturing,2025-06-02,54,55049.76
SKU-003,Gamma Tools,2025-06-02,32,32622.08
SKU-003,Delta Corp,2025-06-02,19,19369.36
SKU-003,Alfa Industries,2025-06-09,68,69321.92
SKU-003,Beta Manufacturing,2025-06-09,51,51991.44
SKU-003,Gamma Tools,2025-06-09,38,38738.72
SKU-003,Delta Corp,2025-06-09,10,10194.4
SKU-003,Alfa Industries,2025-06-16,92,93788.48
SKU-003,Beta Manufacturing,2025-06-16,69,70341.36
SKU-003,Gamma Tools,2025-06-16,40,40777.6
SKU-003,Delta Corp,2025-06-16,9,9174.96
SKU-003,Alfa Industries,2025-06-23,88,89710.72
SKU-003,Beta Manufacturing,2025-06-23,77,78496.88
SKU-003,Gamma Tools,2025-06-23,46,46894.24
SKU-003,Delta Corp,2025-06-23,1,1019.44
SKU-003,Alfa Industries,2025-06-30,91,92769.04
SKU-003,Beta Manufacturing,2025-06-30,81,82574.64
SKU-003,Gamma Tools,2025-06-30,53,54030.32
SKU-003,Delta Corp,2025-06-30,38,38738.72
SKU-003,Alfa Industries,2025-07-07,59,60146.96
SKU-003,Beta Manufacturing,2025-07-07,41,41797.04
SKU-003,Gamma Tools,2025-07-07,25,25486.0
SKU-003,Delta Corp,2025-07-07,37,37719.28
SKU-003,Alfa Industries,2025-07-14,84,85632.96
SKU-003,Beta Manufacturing,2025-07-14,60,61166.4
SKU-003,Gamma Tools,2025-07-14,48,48933.12
SKU-003,Delta Corp,2025-07-14,7,7136.08
SKU-003,Alfa Industries,2025-07-21,85,86652.4
SKU-003,Beta Manufacturing,2025-07-21,51,51991.44
SKU-003,Gamma Tools,2025-07-21,34,34660.96
SKU-003,Delta Corp,2025-07-21,16,16311.04
SKU-003,Alfa Industries,2025-07-28,72,73399.68
SKU-003,Beta Manufacturing,2025-07-28,50,50972.0
SKU-003,Gamma Tools,2025-07-28,39,39758.16
SKU-003,Delta Corp,2025-07-28,18,18349.92
